Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Anaerostipes hadrus	4.864	2.068	1.176	6.477	2.0	0.371	
Anaplasma marginale	4.659	1.771	1.0	6.068	1.763	0.498	
Anaplasma phagocytophilum	5.65	1.176	0.1505	6.1795	1.4115000000000002	0.41700000000000004	
Aphanizomenon flos-aquae	4.7735	2.162	1.423	6.638	1.699	0.371	
Aphanomyces astaci	3.915	4.103	3.2365000000000004	7.729	1.301	0.498	
Aquificae bacterium	3.988	2.173	1.623	6.074	1.699	0.465	
Arabidopsis thaliana	4.079	2.193	1.6675	6.247	1.505	0.369	
Arcobacter butzleri	4.8675	1.8719999999999999	1.0	6.3525	1.72	0.26899999999999996	
Arcobacter cryaerophilus	5.066	1.839	0.845	6.319	1.875	0.27399999999999997	
Arcobacter skirrowii	5.12	1.568	0.602	6.287	2.0555000000000003	0.27699999999999997	
Arcobacter sp.	4.351	2.157	1.471	6.4085	0.8734999999999999	0.2825	
Armatimonadetes bacterium	4.201	2.377	1.732	6.451	1.256	0.604	
Aspergillus flavus	5.102	2.938	1.954	7.567	1.653	0.483	
Aspergillus niger	6.537	1.398	0.699	7.549	1.944	0.495	
Aspergillus oryzae	5.712	2.3115	1.343	7.564	1.9855	0.483	
Aureobasidium pullulans	4.713	3.019	2.2055	7.447	1.653	0.506	
Avibacterium paragallinarum	4.9065	1.9165	0.972	6.399	2.0	0.41	
Azospirillum brasilense	4.967499999999999	2.277	1.2985	6.847	1.38	0.6835	
Bacillus altitudinis	5.314	1.732	0.778	6.573	2.0	0.41200000000000003	
Bacillus amyloliquefaciens	5.54	1.633	0.602	6.596	2.23	0.46399999999999997	
Bacillus aryabhattai	5.5675	1.857	0.699	6.711	1.85	0.37799999999999995	
Bacillus atrophaeus	5.312	1.505	0.778	6.616	1.623	0.431	
Bacillus circulans	5.093	2.077	1.0935	6.707	2.0465	0.355	
Bacillus coagulans	4.694	2.23	1.38	6.535	2.0	0.46399999999999997	
Bacillus cytotoxicus	6.625	0.477	0.0	6.635	2.619	0.359	
Bacillus halotolerans	5.595	1.716	0.699	6.613	1.716	0.43700000000000006	
Bacillus licheniformis	5.338	1.839	0.778	6.629	2.017	0.45899999999999996	
Bacillus megaterium	5.822	1.756	0.602	6.741	2.0	0.37799999999999995	
Bacillus mycoides	5.302	2.053	0.903	6.754	1.968	0.35200000000000004	
Bacillus paralicheniformis	5.593999999999999	1.591	0.699	6.642	1.9769999999999999	0.45899999999999996	
Bacillus pumilus	5.519	1.7595	0.699	6.563	2.0	0.41200000000000003	
Bacillus safensis	5.6845	1.6735	0.477	6.571	2.0635	0.41600000000000004	
Bacillus stratosphericus	5.293	1.756	0.778	6.568	2.167	0.413	
Bacillus toyonensis	5.489	1.833	0.778	6.765	1.886	0.35	
Bacillus wiedmannii	5.315	1.857	0.845	6.745	2.057	0.35200000000000004	
Bacteriodetes bacterium	4.192	2.097	1.491	6.245	1.0	0.39299999999999996	
Bacteroidaceae bacterium	4.387	2.375	1.556	6.439	1.447	0.45	
Bacteroides acidifaciens	4.6899999999999995	2.3625	1.475	6.702	2.301	0.431	
Bacteroides caccae	5.296	1.886	0.954	6.733	2.0	0.425	
Bacteroides finegoldii	5.0184999999999995	2.112	1.161	6.7095	2.2895000000000003	0.429	
Bacteroides ovatus	5.3245000000000005	1.924	0.9285	6.827	2.0789999999999997	0.418	
Bacteroides salyersiae	5.282	1.806	1.0	6.766	1.72	0.41700000000000004	
Bacteroides sp.	4.855	1.653	1.0	6.321	1.636	0.51	
Bacteroides stercoris	4.9405	2.035	1.176	6.615500000000001	2.01	0.46	
Bacteroides uniformis	4.96	2.09	1.23	6.697	1.749	0.46299999999999997	
Bacteroides xylanisolvens	4.75	2.373	1.519	6.804	1.795	0.424	
Bacteroidia bacterium	3.8514999999999997	2.518	1.8399999999999999	6.3575	1.0	0.4245	
Balneola sp.	5.3165	1.423	0.6505	6.538	-1.0	0.38949999999999996	
Balneolaceae bacterium	3.974	2.549	1.911	6.4544999999999995	1.354	0.4405	
Balneolales bacterium	3.969	2.496	1.908	6.412	1.438	0.511	
Balneolia bacterium	3.9465	2.585	1.959	6.438	1.13	0.4945	
Barnesiella sp.	4.818	1.591	0.954	6.281	1.658	0.514	
Bartonella henselae	5.0105	1.6935	0.778	6.2684999999999995	1.8889999999999998	0.38	
Bdellovibrionaceae bacterium	4.275	2.27	1.756	6.45	-1.0	0.42100000000000004	
Bdellovibrionales bacterium	4.231999999999999	2.3840000000000003	1.6975	6.4254999999999995	1.0	0.515	
Bifidobacterium animalis	5.624	1.204	0.301	6.283	2.148	0.605	
Bifidobacterium bifidum	5.3905	1.332	0.477	6.343	1.9665	0.627	
Bifidobacterium breve	5.249499999999999	1.4765000000000001	0.699	6.368	2.0	0.588	
Bifidobacterium dentium	5.468999999999999	1.3005	0.5395	6.4115	2.234	0.585	
Bifidobacterium moukalabense	5.386	1.362	0.301	6.402	1.991	0.599	
Bifidobacterium pseudolongum	5.3415	1.322	0.477	6.305	2.248	0.632	
Bifidobacterium sp.	4.593999999999999	1.9535	1.229	6.2895	2.1205	0.597	
Blastocatellia bacterium	3.932	2.588	2.004	6.483	1.13	0.556	
Blautia massiliensis	5.151	1.823	0.9515	6.5335	2.0	0.441	
Blautia obeum	5.0440000000000005	2.0229999999999997	1.0205	6.544499999999999	2.0	0.41700000000000004	
Blautia wexlerae	4.722	2.364	1.398	6.593	2.0	0.413	
Bordetella avium	5.5615	1.7115	0.5395	6.5715	1.874	0.616	
Bordetella bronchiseptica	5.01	2.0229999999999997	1.217	6.7165	1.855	0.682	
Bordetella holmesii	4.602	2.173	1.398	6.556	1.813	0.627	
Bordetella pertussis	4.994	1.813	1.145	6.606	1.9465	0.6779999999999999	
Borreliella bavariensis	5.957	1.505	0.0	6.112	2.025	0.27899999999999997	
Borreliella garinii	3.765	2.47	1.748	6.045	0.856	0.28	
Brachyspira hyodysenteriae	5.1315	1.6855	0.845	6.484	2.864	0.27	
Brachyspira pilosicoli	5.489000000000001	1.3845	0.588	6.4185	2.1725	0.278	
Bradyrhizobium canariense	5.287000000000001	2.261	1.114	6.918	1.908	0.63	
Bradyrhizobium elkanii	4.9510000000000005	2.4865	1.5030000000000001	6.9655000000000005	1.925	0.637	
Brevundimonas sp.	4.625500000000001	2.1734999999999998	1.38	6.486	1.301	0.6765	
Brochothrix thermosphacta	5.124	1.826	0.845	6.405	1.845	0.363	
Brucella canis	5.673	1.079	0.477	6.514	2.0	0.573	
Brucella ovis	5.486	1.362	0.699	6.517	1.934	0.5720000000000001	
Brucella suis	5.56	1.301	0.602	6.52	2.212	0.5720000000000001	
Burkholderia ambifaria	5.592	1.968	0.778	6.873	1.903	0.667	
Burkholderia anthina	5.305	2.021	1.079	6.877	1.934	0.667	
Burkholderia contaminans	5.3055	1.9489999999999998	1.13	6.922499999999999	1.9705	0.6635	
Burkholderia diffusa	5.375	1.839	1.0	6.84	1.987	0.664	
Burkholderia glumae	4.547499999999999	2.588	1.7429999999999999	6.8075	2.0244999999999997	0.6819999999999999	
Burkholderia lata	5.304	1.959	1.161	6.9455	1.9465	0.6635	
Burkholderia mallei	4.699	2.36	1.556	6.748	2.199	0.6859999999999999	
Burkholderia multivorans	5.2795	1.9209999999999998	1.079	6.809	2.1145	0.672	
Burkholderia territorii	5.36	1.914	1.0	6.839	1.935	0.667	
Burkholderia thailandensis	4.974	2.1685	1.3315000000000001	6.819	1.6945000000000001	0.6765	
Burkholderia vietnamiensis	5.2745	1.9820000000000002	1.114	6.8335	1.975	0.6709999999999999	
Burkholderiaceae bacterium	3.7755	2.559	1.9085	6.18	0.743	0.478	
Caldicellulosiruptor bescii	6.466	0.301	0.0	6.468	2.2809999999999997	0.35200000000000004	
